#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6,League
1,Real Madrid,38,26,9,3,70,25,45,87,,ESP 1
2,Barcelona,38,25,7,6,86,38,48,82,,ESP 1
3,Atletico Madrid,38,18,16,4,51,27,24,70,,ESP 1
4,Sevilla,38,19,13,6,54,34,20,70,,ESP 1
5,Villarreal,38,18,6,14,63,49,14,60,,ESP 1
6,Real Sociedad,38,16,8,14,56,48,8,56,,ESP 1
7,Granada,38,16,8,14,52,45,7,56,,ESP 1
8,Getafe,38,14,12,12,43,37,6,54,,ESP 1
9,Valencia,38,14,11,13,46,53,-7,53,,ESP 1
10,Osasuna,38,13,13,12,46,54,-8,52,,ESP 1
11,Athletic Bilbao,38,13,12,13,41,38,3,51,,ESP 1
12,Levante,38,14,7,17,47,53,-6,49,,ESP 1
13,Real Valladolid,38,9,15,14,32,43,-11,42,,ESP 1
14,Eibar,38,11,9,18,39,56,-17,42,,ESP 1
15,Real Betis,38,10,11,17,48,60,-12,41,,ESP 1
16,Alaves,38,10,9,19,34,59,-25,39,,ESP 1
17,Celta Vigo,38,7,16,15,37,49,-12,37,,ESP 1
18,Leganes,38,8,12,18,30,51,-21,36,,ESP 1
19,Real Mallorca,38,9,6,23,40,65,-25,33,,ESP 1
20,Espanyol,38,5,10,23,27,58,-31,25,,ESP 1

1,Liverpool,38,32,3,3,85,33,52,99,,ENG 1
2,Manchester City,38,26,3,9,102,35,67,81,,ENG 1
3,Manchester United,38,18,12,8,66,36,30,66,,ENG 1
4,Chelsea,38,20,6,12,69,54,15,66,,ENG 1
5,Leicester City,38,18,8,12,67,41,26,62,,ENG 1
6,Tottenham Hotspur,38,16,11,11,61,47,14,59,,ENG 1
7,Wolverhampton Wanderers,38,15,14,9,51,40,11,59,,ENG 1
8,Arsenal,38,14,14,10,56,48,8,56,,ENG 1
9,Sheffield United,38,14,12,12,39,39,0,54,,ENG 1
10,Burnley,38,15,9,14,43,50,-7,54,,ENG 1
11,Southampton,38,15,7,16,51,60,-9,52,,ENG 1
12,Everton,38,13,10,15,44,56,-12,49,,ENG 1
13,Newcastle United,38,11,11,16,38,58,-20,44,,ENG 1
14,Crystal Palace,38,11,10,17,31,50,-19,43,,ENG 1
15,Brighton and Hove Albion,38,9,14,15,39,54,-15,41,,ENG 1
16,West Ham United,38,10,9,19,49,62,-13,39,,ENG 1
17,Aston Villa,38,9,8,21,41,67,-26,35,,ENG 1
18,Bournemouth,38,9,7,22,40,65,-25,34,,ENG 1
19,Watford,38,8,10,20,36,64,-28,34,,ENG 1
20,Norwich City,38,5,6,27,26,75,-49,21,,ENG 1

1,Bayern Munich,34,26,4,4,100,32,68,82,,GER 1
2,Borussia Dortmund,34,21,6,7,84,41,43,69,,GER 1
3,RB Leipzig,34,18,12,4,81,37,44,66,,GER 1
4,M'gladbach,34,20,5,9,66,40,26,65,,GER 1
5,Bayer Leverkusen,34,19,6,9,61,44,17,63,,GER 1
6,Hoffenheim,34,15,7,12,53,53,0,52,,GER 1
7,Wolfsburg,34,13,10,11,48,46,2,49,,GER 1
8,SC Freiburg,34,13,9,12,48,47,1,48,,GER 1
9,Eintracht Frankfurt,34,13,6,15,59,60,-1,45,,GER 1
10,Hertha Berlin,34,11,8,15,48,59,-11,41,,GER 1
11,1. FC Union Berlin,34,12,5,17,41,58,-17,41,,GER 1
12,Schalke,34,9,12,13,38,58,-20,39,,GER 1
13,Mainz,34,11,4,19,44,65,-21,37,,GER 1
14,Cologne,34,10,6,18,51,69,-18,36,,GER 1
15,FC Augsburg,34,9,9,16,45,63,-18,36,,GER 1
16,Werder Bremen,34,8,7,19,42,69,-27,31,,GER 1
17,Fortuna Dusseldorf,34,6,12,16,36,67,-31,30,,GER 1
18,SC Paderborn 07,34,4,8,22,37,74,-37,20,,GER 1

1,Juventus,38,26,5,7,76,43,33,83,,ITA 1
2,Inter Milan,38,24,10,4,81,36,45,82,,ITA 1
3,Atalanta,38,23,9,6,98,48,50,78,,ITA 1
4,Lazio,38,24,6,8,79,42,37,78,,ITA 1
5,Roma,38,21,7,10,77,51,26,70,,ITA 1
6,AC Milan,38,19,9,10,63,46,17,66,,ITA 1
7,Napoli,38,18,8,12,61,50,11,62,,ITA 1
8,Sassuolo,38,14,9,15,69,63,6,51,,ITA 1
9,Verona,38,12,13,13,47,51,-4,49,,ITA 1
10,Fiorentina,38,12,13,13,51,48,3,49,,ITA 1
11,Parma,38,14,7,17,56,57,-1,49,,ITA 1
12,Bologna,38,12,11,15,52,65,-13,47,,ITA 1
13,Udinese,38,12,9,17,37,51,-14,45,,ITA 1
14,Cagliari,38,11,12,15,52,56,-4,45,,ITA 1
15,Sampdoria,38,12,6,20,48,65,-17,42,,ITA 1
16,Torino,38,11,7,20,46,68,-22,40,,ITA 1
17,Genoa,38,10,9,19,47,73,-26,39,,ITA 1
18,Lecce,38,9,8,21,52,85,-33,35,,ITA 1
19,Brescia,38,6,7,25,35,79,-44,25,,ITA 1
20,Spal,38,5,5,28,27,77,-50,20,,ITA 1

1,Paris Saint-Germain,27,22,2,3,75,24,51,68,,FRA 1
2,Marseille,28,16,8,4,41,29,12,56,,FRA 1
3,Rennes,28,15,5,8,38,24,14,50,,FRA 1
4,Lille,28,15,4,9,35,27,8,49,,FRA 1
5,Nice,28,11,8,9,41,38,3,41,,FRA 1
6,Reims,28,10,11,7,26,21,5,41,,FRA 1
7,Lyon,28,11,7,10,42,27,15,40,,FRA 1
8,Montpellier,28,11,7,10,35,34,1,40,,FRA 1
9,Monaco,28,11,7,10,44,44,0,40,,FRA 1
10,Strasbourg,27,11,5,11,32,32,0,38,,FRA 1
11,Angers,28,11,6,11,28,33,-5,39,,FRA 1
12,Bordeaux,28,9,10,9,40,34,6,37,,FRA 1
13,Nantes,28,11,4,13,28,31,-3,37,,FRA 1
