,index,Player,Team,League,Version,OVR,POS,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats,tots,special cards,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
0,148,Lionel Messi,FC Barcelona,ESP 1,gold,94,RW,87,92,92,96,39,66,4,4,M/L,Left,"2,201",1,10,33,2876,25,20.84966728463769,20,16.593363385647535,159,88,4,0,20,17.133279267698526,34.92346678301692,13.53765751607716
1,220,Cristiano Ronaldo,Juventus,ITA 1,gold,93,ST,90,93,82,89,35,78,5,4,H/L,Right,"2,170",1,6,33,2920,31,29.43167947418988,5,6.067225832492113,208,51,3,0,19,19.53495633788407,26.5536093339324,7.224641568958759
2,289,Neymar Jr,Paris Saint-Germain,FRA 1,gold,92,LW,91,85,87,95,32,58,5,5,H/M,Right,"2,103",1,6,15,1325,12,14.72513022273779,6,5.246029013767839,70,38,2,1,8,10.924720011651516,21.302691847085956,7.206128515303135
3,359,Kevin De Bruyne,Manchester City,ENG 1,gold,91,CAM,76,86,92,87,61,78,4,5,H/H,Right,"2,220",1,10,35,2818,14,8.106427835300565,20,20.62070693448186,100,133,3,0,12,6.58409016020596,37.79831072688103,19.244823712855577
4,360,Eden Hazard,Real Madrid,ESP 1,gold,91,LW,91,83,86,94,35,66,4,4,H/M,Right,"2,100",0,6,16,1101,1,2.4129370115697384,3,3.0678019635379314,19,21,0,0,1,2.4129370115697384,8.582586638629436,4.437423238530755
5,361,Jan Oblak,Atlético de Madrid,ESP 1,gold,91,GK,87,92,78,89,50,90,1,3,M/M,Right,976,1,4,38,3397,0,0.0,0,0.0,0,0,0,0,0,0.0,3.374600134789944,3.374600134789944
6,446,Mohamed Salah,Liverpool,ENG 1,gold,90,RW,93,86,81,89,45,74,4,3,H/M,Left,"2,137",1,6,34,2904,19,20.66331870108843,10,8.72604252398014,132,60,1,0,16,18.37981212884188,31.37419793009758,8.42502685263753
7,447,Virgil van Dijk,Liverpool,ENG 1,gold,90,CB,77,60,70,72,90,86,2,3,M/M,Right,"2,041",1,7,38,3420,5,2.957816191017628,1,1.1334363408386707,31,7,1,0,5,2.957816191017628,15.309704806655644,14.673714911565185
8,448,Marc-Andre ter Stegen,FC Barcelona,ESP 1,gold,90,GK,88,85,88,90,43,88,1,4,M/M,Right,"1,003",1,5,36,3240,0,0.0,2,0.5856583118438721,0,2,1,0,0,0.0,8.562430083751678,7.976771771907806
9,449,Luka Modric,Real Madrid,ESP 1,gold,90,CM,74,76,89,90,72,66,4,4,H/H,Right,"2,216",0,6,31,2021,3,1.5862621292471886,7,3.4274160284549,30,40,7,1,3,1.5862621292471886,15.80671090632677,12.658156901597977
10,549,N'Golo Kante,Chelsea,ENG 1,gold,89,CDM,78,65,77,81,87,83,2,3,M/H,Right,"2,124",0,7,22,1733,3,1.54391295555979,0,1.5202719774097204,18,27,4,0,3,1.54391295555979,7.209238461218774,4.837984517216682
11,550,Alisson,Liverpool,ENG 1,gold,89,GK,85,84,85,89,52,90,1,3,M/M,Right,950,1,4,29,2545,0,0.0,1,0.2629152238368988,0,1,0,1,0,0.0,6.831634545698762,6.568719336763024
12,551,Harry Kane,Tottenham Hotspur,ENG 1,gold,89,ST,70,91,79,81,47,83,3,4,H/H,Right,"2,122",0,8,29,2595,18,13.29706595093012,2,3.1170063093304634,82,27,4,0,16,11.77476505190134,16.854615883901715,3.0513013089075685
13,552,Kalidou Koulibaly,Napoli,ITA 1,gold,89,CB,71,28,54,68,89,87,2,3,M/H,Right,"1,682",0,5,25,2110,0,0.7850796394050121,0,0.4353707656264305,14,10,7,1,0,0.7850796394050121,9.785449218004942,9.437469128519297
14,553,Antoine Griezmann,FC Barcelona,ESP 1,gold,89,CF,81,86,84,89,57,72,4,3,H/H,Left,"2,237",1,6,35,2574,9,8.262417173013091,4,4.691107992082834,55,33,2,0,9,8.262417173013091,19.231144664809108,8.703454604372382
15,554,De Gea,Manchester United,ENG 1,gold,89,GK,90,84,81,92,57,85,1,3,M/M,Right,"1,041",0,2,38,3420,0,0.0,0,0.0,0,0,2,0,0,0.0,4.69521068315953,4.69521068315953
16,555,Sergio Busquets,FC Barcelona,ESP 1,gold,89,CDM,42,62,80,81,85,80,3,3,M/M,Right,"1,997",1,2,33,2510,2,1.43750124797225,2,3.1640883926302195,10,22,10,0,2,1.43750124797225,22.74610253609717,20.191059049218893
17,556,Robert Lewandowski,Bayern München,GER 1,gold,89,ST,77,87,74,85,41,82,4,4,H/M,Right,"2,095",1,11,31,2763,34,31.196764232590795,4,7.27112489938736,138,36,5,0,29,27.40788071230054,39.65040745027363,9.743498254567385
18,557,Luis Suarez,FC Barcelona,ESP 1,gold,89,ST,73,89,80,84,51,84,3,4,H/M,Right,"2,165",1,4,28,1989,16,13.913964495062828,8,3.1697452925145626,79,26,4,0,15,13.17068687081337,18.988986507058144,4.466442044824362
19,558,Sergio Ramos,Real Madrid,ESP 1,gold,89,CB,72,68,75,74,87,85,3,3,H/M,Right,"2,186",1,7,35,3025,11,10.652958670631053,0,0.5280062342062593,39,5,10,0,5,6.193420918658376,13.22568603977561,10.925066517665982
20,559,Sergio Aguero,Manchester City,ENG 1,gold,89,ST,80,90,77,88,33,74,4,4,H/M,Right,"2,071",1,7,24,1462,16,15.557500325143335,3,2.9202088303864,76,19,1,0,14,13.274030677974224,16.878254003822803,2.644766173325479
21,560,Giorgio Chiellini,Juventus,ITA 1,gold,89,CB,68,46,58,62,90,82,2,3,M/H,Left,"1,831",0,2,4,205,1,0.528497576713562,0,0.0,1,0,0,0,1,0.528497576713562,1.6591923218220472,1.6591923218220472
22,561,Kylian Mbappe,Paris Saint-Germain,FRA 1,gold,89,ST,96,84,78,90,39,75,5,4,H/L,Right,"2,091",1,9,20,1522,18,16.572050720453262,5,10.575326211750507,88,40,0,0,18,16.572050720453262,29.428369849920276,6.0446327812969685
23,610,Christian Eriksen,Inter,ITA 1,gold,88,CAM,73,81,90,84,53,63,4,5,H/H,Right,"2,074",0,8,17,699,1,2.946165032684803,2,2.651609741151333,24,22,0,0,1,2.946165032684803,7.065471891313791,3.5410911180078983
24,621,Dani Olmo,RB Leipzig,GER 1,future1,88,CAM,87,86,86,89,53,72,4,4,H/M,Right,"2,178",0,0,12,767,3,1.9231842383742328,1,1.2144705690443516,21,9,1,0,3,1.9231842383742328,5.222254779189825,2.7866643965244293
25,689,Paulo Dybala,Juventus,ITA 1,gold,88,CAM,83,82,84,90,43,64,4,3,M/M,Left,"2,106",1,7,33,2187,11,9.310342945158482,6,7.191221464425325,100,69,5,0,10,8.549044169485569,19.91659000981599,9.562891212292016
