Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
Kevin De Bruyne,Manchester City,ENG 1,award,99,CM,,92,97,99,98,90,95,4,5,H/H,Right,"2,582"
Cristiano Ronaldo,Piemonte Calcio,ITA 1,tots,99,ST,2.5M,98,99,92,99,43,94,5,4,H/L,Right,"2,387"
Robert Lewandowski,Bayern München,GER 1,tots,99,ST,915K,94,99,95,97,50,94,4,4,H/M,Right,"2,443"
Lionel Messi,FC Barcelona,ESP 1,tots,99,RW,2M,98,99,99,99,44,80,4,4,M/L,Left,"2,374"
Kevin De Bruyne,Manchester City,ENG 1,tots,99,CM,1.4M,92,97,99,98,90,95,4,5,H/H,Right,"2,582"
Virgil van Dijk,Liverpool,ENG 1,tots,99,CB,2.1M,87,80,91,91,99,99,2,3,M/M,Right,"2,434"
Pele,Icons,ICO,iconmoment,99,ST,9M,97,98,95,99,62,81,5,4,H/M,Right,"2,473"
Diego Maradona,Icons,ICO,iconmoment,99,CAM,6.3M,97,96,94,99,42,80,5,3,H/M,Left,"2,364"
Cristiano Ronaldo,Piemonte Calcio,ITA 1,toty,99,ST,2.5M,97,99,92,98,45,95,5,4,H/L,Right,"2,392"
Lionel Messi,FC Barcelona,ESP 1,toty,99,RW,3.4M,96,98,99,99,50,85,4,4,M/L,Left,"2,420"
Virgil van Dijk,Liverpool,ENG 1,toty,99,CB,1.9M,88,80,92,90,99,98,2,3,M/M,Right,"2,434"
Kylian Mbappe,Paris Saint-Germain,FRA 1,tots,98,ST,2.4M,99,97,92,98,55,90,5,4,H/L,Right,"2,412"
Neymar Jr,Paris Saint-Germain,FRA 1,tots,98,LW,3.3M,98,96,98,99,38,67,5,5,H/M,Right,"2,321"
Sadio Mane,Liverpool,ENG 1,tots,98,LW,995K,99,97,95,98,58,90,4,4,H/M,Right,"2,460"
Kylian Mbappe,Paris Saint-Germain,FRA 1,toty,98,ST,2.1M,99,96,93,98,55,90,5,4,H/L,Right,"2,415"
Kevin De Bruyne,Manchester City,ENG 1,toty,98,CAM,1.2M,88,96,99,96,82,93,4,5,H/H,Right,"2,521"
Pele,Icons,ICO,icon,98,CAM,4.4M,95,96,93,96,60,76,5,4,H/M,Right,"2,415"
Gianluigi Buffon,Piemonte Calcio,ITA 1,flashback,97,GK,,98,96,90,98,60,99,1,2,M/M,Right,0
Harry Kane,Tottenham Hotspur,ENG 1,moments,97,ST,,90,99,92,93,55,94,4,4,H/H,Right,"2,406"
David Silva,Manchester City,ENG 1,sbcprem,97,CAM,,91,93,98,99,64,73,4,3,H/M,Left,"2,398"
Wissam Ben Yedder,AS Monaco,FRA 1,tots,97,ST,2.9M,97,97,94,98,52,84,4,5,H/H,Right,"2,420"
Luis Alberto,Lazio,ITA 1,tots,97,CM,162K,91,96,97,98,72,79,4,3,M/M,Right,"2,416"
Timo Werner,RB Leipzig,GER 1,tots,97,ST,479K,99,98,90,96,47,86,3,4,H/M,Right,"2,338"
Luis Suarez,FC Barcelona,ESP 1,tots,97,ST,350K,91,99,93,96,59,95,3,4,H/M,Right,"2,459"
