,id,Player,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,Team,npg,npxG,xGChain,xGBuildup,League
0,2097,Lionel Messi,35,3017,30,26.676843278110027,9,11.422847747802734,195,77,4,0,F M S,Barcelona,27,22.96045546978712,37.906863175332546,20.33736250922084,ESP 1
1,2120,Gerard Moreno,33,2680,23,19.52812883257866,7,7.810236442834139,98,43,3,0,F M S,Villarreal,13,12.095480419695377,23.26353019475937,6.951297817751765,ESP 1
2,2370,Karim Benzema,34,2914,23,19.454521590843797,9,6.755567729473114,123,38,2,0,F S,Real Madrid,22,18.711243921890855,28.303930163383484,6.194142518565059,ESP 1
3,2098,Luis Suarez,32,2541,21,17.89246611110866,3,3.1426702942699194,104,27,6,0,F S,Atletico Madrid,18,15.662633268162608,18.595971453934908,1.2328046094626188,ESP 1
4,5169,Youssef En-Nesyri,38,2308,18,15.79480616375804,0,2.6420645620673895,77,13,2,0,F S,Sevilla,18,15.79480616375804,17.81611675210297,1.087053531780839,ESP 1
5,5232,Alexander Isak,34,2389,16,16.467687502503395,2,1.841515245847404,81,10,4,0,F S,Real Sociedad,16,15.724409859627485,17.613966742530465,2.982304299250245,ESP 1
6,2186,Morales,38,2469,14,7.804594649001956,3,4.620819337666035,58,34,3,0,F M S,Levante,14,7.0614449586719275,12.581370422616601,3.2699944199994206,ESP 1
7,2290,Iago Aspas,33,2878,14,12.255059566348791,13,9.306387910619378,51,62,9,0,F M,Celta Vigo,9,8.539055179804564,25.359110705554485,11.444089656695724,ESP 1
8,2270,Antoine Griezmann,36,2646,13,12.428817886859179,7,6.6603806130588055,71,42,4,0,F M S,Barcelona,12,10.942390579730272,24.722413562238216,12.167518727481365,ESP 1
9,2589,Rafa Mir,38,2881,13,15.11010267212987,1,0.7851439956575632,120,9,2,0,F M S,SD Huesca,11,12.880269754678011,13.06596665084362,2.0353721100836992,ESP 1
10,2384,Santi Mina,34,2443,12,9.3563068844378,3,2.6256478913128376,45,15,4,0,F S,Celta Vigo,11,8.61302924528718,14.686005530878901,5.218657840043306,ESP 1
11,2518,Marcos Llorente,37,2960,12,4.76896558701992,11,6.388480018824339,49,44,6,0,D F M S,Atletico Madrid,12,4.76896558701992,19.44984607025981,10.456969669088721,ESP 1
12,2566,Roger,33,2218,12,9.544373910874128,4,2.5728684812784195,46,18,4,0,F S,Levante,10,6.571263436228037,12.849092207849026,4.277770956046879,ESP 1
13,5074,Kike Garcia,37,3124,12,10.610245729796588,2,1.8997546173632145,87,25,2,1,F S,Eibar,12,10.610245729796588,14.646081464365125,4.451285116374493,ESP 1
14,866,Joselu,37,3044,11,12.153264783322811,3,3.794093929231167,94,30,1,0,F S,Alaves,9,9.180282212793827,10.71023697219789,1.1541428826749325,ESP 1
15,1235,Ante Budimir,30,1628,11,9.928603152744472,0,0.7743709105998278,46,9,3,0,F S,Osasuna,11,9.928603152744472,9.380050174891949,0.9583337623625994,ESP 1
16,2234,Mikel Oyarzabal,33,2442,11,10.841890971176326,8,7.359040465205908,62,51,1,0,F M S,Real Sociedad,5,5.639075460843742,18.715211153030396,9.9772272631526,ESP 1
17,2478,Carlos Soler,32,2745,11,9.409325325861573,8,5.281804285943508,37,45,7,0,M S,Valencia,4,2.720082575455308,9.745373958721757,5.717744955793023,ESP 1
18,2543,Borja Iglesias,28,1413,11,8.948852464556694,0,0.6445792093873024,38,6,2,0,F S,Real Betis,6,5.232592228800058,6.35737593844533,2.4305376689881086,ESP 1
