,index,Player,Team,League,Version,OVR,POS,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats,tots,special cards,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
0,8,Lionel Messi,Paris Saint-Germain,FRA 1,gold,93,RW,85,92,91,95,34,65,4,4,M/L,Left,"2,165",0,2,11,869,1,4.620387986302376,4,3.4615752324461937,43,24,0,0,1,4.620387986302376,9.98707789182663,4.3963952995836735
1,18,Robert Lewandowski,Bayern München,GER 1,gold,92,ST,78,92,79,86,44,82,4,4,H/M,Right,"2,161",0,2,17,1453,19,20.723959997296333,1,3.385600343346596,77,24,1,0,16,18.450630009174347,23.14330843091011,3.842410769313574
2,27,Jan Oblak,Atlético de Madrid,ESP 1,gold,91,GK,87,92,78,90,50,90,1,3,M/M,Right,976,0,0,19,1710,0,0.0,0,0.0,0,0,0,0,0,0.0,2.5277592334896326,2.5277592334896326
3,28,Neymar Jr,Paris Saint-Germain,FRA 1,gold,91,LW,91,83,86,94,37,63,5,5,H/M,Right,"2,124",0,2,10,840,3,3.668838202953338,3,2.8683767654001717,20,23,2,0,2,2.9087430834770203,9.963017225265505,5.553030788898468
4,29,Kevin De Bruyne,Manchester City,ENG 1,gold,91,CM,76,86,93,88,64,78,4,5,H/H,Right,"2,248",0,2,15,922,5,2.379490138962865,1,4.154468223452568,36,36,0,0,5,2.379490138962865,7.930383514612913,4.388224134221673
5,31,Cristiano Ronaldo,Manchester United,ENG 1,otw,91,ST,87,93,82,88,34,75,5,4,H/L,Right,"2,152",0,3,16,1300,8,9.91887341439724,3,1.6593726500868795,57,12,4,0,6,8.39653579890728,11.537003859877586,2.896052235737443
6,57,Marc-Andre ter Stegen,FC Barcelona,ESP 1,gold,90,GK,88,85,88,90,43,88,1,4,M/M,Right,"1,005",0,1,17,1530,0,0.0,0,0.0,0,0,3,0,0,0.0,4.241339245811105,4.241339245811105
7,58,Manuel Neuer,Bayern München,GER 1,gold,90,GK,88,88,91,88,56,89,1,4,M/M,Right,"1,090",0,0,17,1530,0,0.0,0,0.0,0,0,0,0,0,0.0,5.238211296498776,5.238211296498776
8,60,Harry Kane,Tottenham Hotspur,ENG 1,gold,90,ST,70,91,83,83,47,83,3,5,H/H,Right,"2,151",0,1,17,1429,4,6.853766035288572,1,3.152003549039364,50,14,3,0,3,6.092597257345915,10.62307670712471,2.6764032524079084
9,88,Sadio Mane,Liverpool,ENG 1,gold,89,LW,91,83,80,89,44,77,4,4,H/M,Right,"2,136",0,1,20,1713,8,10.503094624727964,1,3.385883605107665,61,20,2,0,8,10.503094624727964,18.285370528697968,7.227718977257609
10,89,Ederson,Manchester City,ENG 1,gold,89,GK,87,82,93,88,64,88,1,3,M/M,Left,"1,145",0,0,20,1800,0,0.0,0,0.0,0,0,2,0,0,0.0,6.310853496193886,6.310853496193886
11,90,Casemiro,Real Madrid,ESP 1,gold,89,CDM,65,73,76,73,86,90,2,3,H/H,Right,"2,152",0,1,18,1517,0,0.5562297394499183,3,2.6705636270344257,19,16,6,0,0,0.5562297394499183,11.163688518106936,9.183627396821976
12,91,Thibaut Courtois,Real Madrid,ESP 1,gold,89,GK,84,89,74,88,46,86,1,3,M/M,Left,906,0,1,20,1800,0,0.0,0,0.0,0,0,1,0,0,0.0,4.329216865357012,4.329216865357012
13,92,Alisson,Liverpool,ENG 1,gold,89,GK,86,86,84,89,52,90,1,3,M/M,Right,958,0,0,18,1620,0,0.0,0,0.0,0,0,0,0,0,0.0,5.771109089255333,5.771109089255333
14,93,Joshua Kimmich,Bayern München,GER 1,gold,89,CDM,70,73,86,84,83,79,3,4,H/M,Right,"2,223",0,2,11,972,3,1.8765698093920944,3,3.849724978208542,12,26,0,0,3,1.8765698093920944,11.362265571951866,7.916896425187588
15,94,Virgil van Dijk,Liverpool,ENG 1,gold,89,CB,78,60,71,72,91,84,2,3,M/M,Right,"2,046",0,2,18,1620,1,0.9992047306150198,1,0.851976003497839,18,6,2,0,1,0.9992047306150198,11.368367929011583,11.35641760006547
16,96,Gianluigi Donnarumma,Paris Saint-Germain,FRA 1,gold,89,GK,91,83,79,90,52,85,1,3,M/M,Right,949,0,1,8,720,0,0.0,0,0.0,0,0,1,0,0,0.0,1.9505523834377527,1.9505523834377527
17,97,Mohamed Salah,Liverpool,ENG 1,gold,89,RW,90,87,81,90,45,75,4,3,H/M,Left,"2,149",0,5,20,1786,16,15.608175069093704,9,6.22314802929759,80,40,1,0,14,13.32466857135296,22.21259716153145,7.717494197189808
18,98,Heung Min Son,Tottenham Hotspur,ENG 1,gold,89,LM,88,87,82,86,43,69,4,5,H/H,Right,"2,089",0,2,17,1499,8,6.958429858088493,3,3.3822450675070286,44,33,0,0,8,6.958429858088493,11.58835968375206,3.5982557721436024
19,133,Keylor Navas,Paris Saint-Germain,FRA 1,gold,88,GK,89,84,75,89,54,87,1,3,M/M,Right,"1,004",0,1,11,967,0,0.0,0,0.0,0,0,0,1,0,0.0,3.3466246351599693,3.3466246351599693
20,134,Sergio Ramos,Paris Saint-Germain,FRA 1,gold,88,CB,70,70,76,74,88,84,3,3,H/M,Right,"2,205",0,1,2,130,0,0.0,0,0.0,0,0,0,1,0,0.0,2.031599432229996,2.031599432229996
